Lote_Piloto;Tamanho_MB;Nome_Original;Novo_Nome_Padronizado;Pasta_Pai;Caminho_Completo_Original
NAO;2212,45;Ahsoka.S01E01.Part.One.1080p.DSNP.WEB-DL.DDP5.1.H.264-NTb.mkv;Ahsoka.S01E01.1080p.H265.mkv;Ahsoka.S01;\\192.168.0.99\Media\series\Ahsoka.S01\Ahsoka.S01E01.Part.One.1080p.DSNP.WEB-DL.DDP5.1.H.264-NTb.mkv
NAO;2167,51;Cleaning.Up.S01E04.1080p.WEB-DL.H264.AAC-AppleTor.mp4;Cleaning.Up.S01E04.1080p.H265.mp4;Cleaning.Up.S01E04.KOREAN.1080p.WEBRip.AAC2.0.x264-AppleTor[rartv];\\192.168.0.99\Media\series\Cleaning.Up.S01\Cleaning.Up.S01E04.KOREAN.1080p.WEBRip.AAC2.0.x264-AppleTor[rartv]\Cleaning.Up.S01E04.1080p.WEB-DL.H264.AAC-AppleTor.mp4
NAO;2163,39;Yumi's.Cells.S01E02.1080p.WEB-DL.H264.AAC-AppleTor.mp4;Yumi_s.Cells.S01E02.1080p.H265.mp4;Yumis.Cells.S01.KOREAN.1080p.WEBRip.AAC2.0.x264-AppleTor[rartv];\\192.168.0.99\Media\series\Yumis.Cells\Yumis.Cells.S01.KOREAN.1080p.WEBRip.AAC2.0.x264-AppleTor[rartv]\Yumi's.Cells.S01E02.1080p.WEB-DL.H264.AAC-AppleTor.mp4
NAO;2159,25;Cleaning.Up.S01E03.1080p.WEB-DL.H264.AAC-AppleTor.mp4;Cleaning.Up.S01E03.1080p.H265.mp4;Cleaning.Up.S01E03.KOREAN.1080p.WEBRip.AAC2.0.x264-AppleTor[rartv];\\192.168.0.99\Media\series\Cleaning.Up.S01\Cleaning.Up.S01E03.KOREAN.1080p.WEBRip.AAC2.0.x264-AppleTor[rartv]\Cleaning.Up.S01E03.1080p.WEB-DL.H264.AAC-AppleTor.mp4
NAO;2158,29;The.Book.of.Boba.Fett.S01E06.1080p.WEB.h264-KOGi.mkv;The.Book.of.Boba.Fett.S01E06.1080p.H265.mkv;The.Book.of.Boba.Fett.S01;\\192.168.0.99\Media\series\The.Book.of.Boba.Fett.S01\The.Book.of.Boba.Fett.S01E06.1080p.WEB.h264-KOGi.mkv
NAO;2133,58;Cleaning.Up.S01E11.1080p.WEB-DL.H264.AAC-AppleTor.mp4;Cleaning.Up.S01E11.1080p.H265.mp4;Cleaning.Up.S01E11.KOREAN.1080p.WEBRip.AAC2.0.x264-AppleTor[rartv];\\192.168.0.99\Media\series\Cleaning.Up.S01\Cleaning.Up.S01E11.KOREAN.1080p.WEBRip.AAC2.0.x264-AppleTor[rartv]\Cleaning.Up.S01E11.1080p.WEB-DL.H264.AAC-AppleTor.mp4
NAO;2119,96;Yumi's.Cells.S01E01.1080p.WEB-DL.H264.AAC-AppleTor.mp4;Yumi_s.Cells.S01E01.1080p.H265.mp4;Yumis.Cells.S01.KOREAN.1080p.WEBRip.AAC2.0.x264-AppleTor[rartv];\\192.168.0.99\Media\series\Yumis.Cells\Yumis.Cells.S01.KOREAN.1080p.WEBRip.AAC2.0.x264-AppleTor[rartv]\Yumi's.Cells.S01E01.1080p.WEB-DL.H264.AAC-AppleTor.mp4
NAO;2110,63;Yumi's.Cells.S01E08.1080p.WEB-DL.H264.AAC-AppleTor.mp4;Yumi_s.Cells.S01E08.1080p.H265.mp4;Yumis.Cells.S01.KOREAN.1080p.WEBRip.AAC2.0.x264-AppleTor[rartv];\\192.168.0.99\Media\series\Yumis.Cells\Yumis.Cells.S01.KOREAN.1080p.WEBRip.AAC2.0.x264-AppleTor[rartv]\Yumi's.Cells.S01E08.1080p.WEB-DL.H264.AAC-AppleTor.mp4
NAO;2109,42;Cleaning.Up.S01E13.1080p.WEB-DL.H264.AAC-AppleTor.mp4;Cleaning.Up.S01E13.1080p.H265.mp4;Cleaning.Up.S01E13.KOREAN.1080p.WEBRip.AAC2.0.x264-AppleTor[rartv];\\192.168.0.99\Media\series\Cleaning.Up.S01\Cleaning.Up.S01E13.KOREAN.1080p.WEBRip.AAC2.0.x264-AppleTor[rartv]\Cleaning.Up.S01E13.1080p.WEB-DL.H264.AAC-AppleTor.mp4
NAO;2097,34;Andor.S01E04.1080p.WEB.h264-KOGi.mkv;Andor.S01E04.1080p.H265.mkv;Andor.S01E04.1080p.WEB.h264-KOGi[rarbg];\\192.168.0.99\Media\series\Andor\Andor.S01E04.1080p.WEB.h264-KOGi[rarbg]\Andor.S01E04.1080p.WEB.h264-KOGi.mkv
