Raiz;Categoria (Nível 1);Subpasta (Nível 2);Subpasta (Nível 3);Subpasta (Nível 4);Caminho Completo;Oportunidade (GB);Pendentes;Total de Arquivos
\\192.168.0.99\Media\;Anime-Cartoon;Tokyo 24-ku;;;\\192.168.0.99\Media\Anime-Cartoon\Tokyo 24-ku;10,45;14;14
\\192.168.0.99\Media\;Anime-Cartoon;SwordArtOnLine;AlicizationS01;;\\192.168.0.99\Media\Anime-Cartoon\SwordArtOnLine\AlicizationS01;10,44;26;26
\\192.168.0.99\Media\;filmes;Asian;Kiki's.Delivery.Service.2014.1080p.BluRay.x264-WiKi;;\\192.168.0.99\Media\filmes\Asian\Kiki's.Delivery.Service.2014.1080p.BluRay.x264-WiKi;10,39;1;1
\\192.168.0.99\Media\;Anime-Cartoon;Long Riders;;;\\192.168.0.99\Media\Anime-Cartoon\Long Riders;10,05;12;12
\\192.168.0.99\Media\;Anime-Cartoon;Long Riders;[RIPsuki] Long Riders! (Re-air) [1080p];;\\192.168.0.99\Media\Anime-Cartoon\Long Riders\[RIPsuki] Long Riders! (Re-air) [1080p];10,05;12;12
\\192.168.0.99\Media\;Anime-Cartoon;Yukikaze [720p];;;\\192.168.0.99\Media\Anime-Cartoon\Yukikaze [720p];9,99;5;5
\\192.168.0.99\Media\;Anime-Cartoon;SpyxFamily;Japones;;\\192.168.0.99\Media\Anime-Cartoon\SpyxFamily\Japones;9,91;13;13
\\192.168.0.99\Media\;Anime-Cartoon;Kobayashi-san Chi no Maid Dragon;Kobayashi-san Chi no Maid Dragon S2;;\\192.168.0.99\Media\Anime-Cartoon\Kobayashi-san Chi no Maid Dragon\Kobayashi-san Chi no Maid Dragon S2;9,82;16;16
\\192.168.0.99\Media\;series;A Feiticeira;AFeiticeiraBewitchedSeason4;avi;\\192.168.0.99\Media\series\A Feiticeira\AFeiticeiraBewitchedSeason4\avi;9,61;33;33
\\192.168.0.99\Media\;Anime-Cartoon;Vivy - Fluorite Eye's Song;;;\\192.168.0.99\Media\Anime-Cartoon\Vivy - Fluorite Eye's Song;9,52;12;12
\\192.168.0.99\Media\;Anime-Cartoon;Shinka no Mi;;;\\192.168.0.99\Media\Anime-Cartoon\Shinka no Mi;9,49;7;7
\\192.168.0.99\Media\;Anime-Cartoon;Hakozume - Kouban Joshi no Gyakushuu;;;\\192.168.0.99\Media\Anime-Cartoon\Hakozume - Kouban Joshi no Gyakushuu;9,1;13;13
\\192.168.0.99\Media\;Anime-Cartoon;K-On;[PA] K-On!!;;\\192.168.0.99\Media\Anime-Cartoon\K-On\[PA] K-On!!;9,09;28;28
\\192.168.0.99\Media\;Anime-Cartoon;Saijaku Muhai no Bahamut [BD][1080p][FLAC][10bits];;;\\192.168.0.99\Media\Anime-Cartoon\Saijaku Muhai no Bahamut [BD][1080p][FLAC][10bits];9,05;12;12
